,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
0,YU SERVICES LLC,BUSINESS ANALYST,"41,200","RICHARDSON, TX",05/04/2020,10/01/2020,CERTIFIED
1,HILTON DOMESTIC OPERATING COMPANY INC,BUSINESS ANALYST,"45,120","CARROLLTON, TX",05/19/2020,10/01/2020,CERTIFIED
2,TOFBA INTERNATIONAL,BUSINESS ANALYST,"46,160","HAWTHORNE, CA",05/19/2020,10/01/2020,CERTIFIED
3,TERRAPINN INC,BUSINESS ANALYST,"47,660","NEW YORK, NY",05/06/2020,10/01/2020,CERTIFIED
4,ENTERPRISE BUSINESS SOLUTIONS INC,BUSINESS ANALYST,"48,000","JEFFERSON CITY, MO",06/05/2020,06/15/2020,CERTIFIED
5,WAICHI CORPORATION,BUSINESS ANALYST,"49,240","ELKRIDGE, MD",04/01/2020,09/03/2020,CERTIFIED
6,UNITED GEORGIA BEAUTY SUPPLY ASSOCIATION INC,BUSINESS ANALYST,"49,820","DORAVILLE, GA",06/17/2020,10/01/2020,CERTIFIED
7,HOLIDAY OIL,BUSINESS ANALYST,"50,000","WEST VALLEY CITY, UT",03/20/2020,03/20/2020,DENIED
8,JNS RX LLC,BUSINESS ANALYST,"50,480","RIVERVIEW, FL",03/10/2020,09/07/2020,CERTIFIED
9,ITALLIANZ INC,BUSINESS ANALYST,"52,000","WINTER HAVEN, FL",06/13/2020,10/01/2020,CERTIFIED
10,HILTON DOMESTIC OPERATING COMPANY INC,BUSINESS ANALYST,"52,440","CARROLLTON, TX",08/31/2020,10/01/2020,CERTIFIED
11,LTS ASSOCIATE INC,BUSINESS ANALYST,"53,900","CITY OF INDUSTRY, CA",05/15/2020,06/01/2020,CERTIFIED
12,METIS THEMIS LLC,BUSINESS ANALYST,"54,000","LAKE FOREST, CA",04/30/2020,10/01/2020,CERTIFIED
13,REIKO WIRELESS INC,BUSINESS ANALYST,"54,000","COMMACK, NY",06/02/2020,10/01/2020,CERTIFIED
14,UNIVERSAL FLOORING SUPPLY LLC,BUSINESS ANALYST,"54,780","STAFFORD, TX",04/10/2020,10/01/2020,CERTIFIED
15,KSTREET INTERNATIONAL INC,BUSINESS ANALYST,"54,780","HOUSTON, TX",05/05/2020,10/01/2020,DENIED
16,KSTREET INTERNATIONAL INC,BUSINESS ANALYST,"54,780","HOUSTON, TX",05/11/2020,10/01/2020,CERTIFIED
17,BELCAN SERVICES GROUP LTD PARTNERSHIP,BUSINESS ANALYST,"55,260","ST. LOUIS, MO",06/12/2020,07/01/2020,CERTIFIED
18,BEST CHEER STONE INC,BUSINESS ANALYST,"56,000","ANAHEIM, CA",04/16/2020,09/03/2020,CERTIFIED
19,THE FOUNTAIN GROUP LLC,BUSINESS ANALYST,"56,000","IRVING, TX",06/15/2020,10/01/2020,CERTIFIED
20,BELCAN SERVICES GROUP LTD PARTNERSHIP,BUSINESS ANALYST,"57,680","ST. LOUIS, MO",06/15/2020,07/01/2020,CERTIFIED
21,VIDA SHOES INTERNATIONAL INC,BUSINESS ANALYST,"57,700","NEW YORK, NY",05/01/2020,10/01/2020,CERTIFIED
22,MOBILE LIGHTING SERVICE USA INC,BUSINESS ANALYST,"58,000","PISCATAWAY, NJ",06/04/2020,10/01/2020,CERTIFIED
23,CHANG-SHENG INC,BUSINESS ANALYST,"58,760","DALLAS, TX",05/13/2020,10/01/2020,CERTIFIED
24,LINKEDIN TECH INC,BUSINESS ANALYST,"58,760","GARLAND, TX",05/15/2020,10/01/2020,CERTIFIED
25,LAW OFFICES OF WILLIAM CHU,BUSINESS ANALYST,"58,760","DALLAS, TX",05/29/2020,10/01/2020,CERTIFIED
26,NYIS INC,BUSINESS ANALYST,"59,300","NEW YORK, NY",04/15/2020,10/01/2020,CERTIFIED - WITHDRAWN
27,PROMPT GEM IMPORTERS INC,BUSINESS ANALYST,"59,300","NEW YORK, NY",05/27/2020,10/01/2020,CERTIFIED
28,VALLEY USED TIRES LLC,BUSINESS ANALYST,"59,960","DALLAS, TX",09/08/2020,10/01/2020,CERTIFIED
29,SHANGHAI SHENDA (AMERICA) LLC,BUSINESS ANALYST,"60,000","NEW YORK, NY",05/11/2020,10/01/2020,CERTIFIED
30,CHINESE GOURMET GROUP INC,BUSINESS ANALYST,"60,000","RANCHO PALOS VERDES, CA",05/21/2020,08/19/2020,CERTIFIED
31,GLOBAL LINE SERVICE INC,BUSINESS ANALYST,"60,000","FLUSHING, NY",06/02/2020,10/01/2020,CERTIFIED
32,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"60,000","SOUTHFIELD, MI",08/03/2020,08/03/2020,CERTIFIED
33,SYNCHRONISYS INC,BUSINESS ANALYST,"60,000","DAYTON, OH",09/03/2020,09/14/2020,CERTIFIED
34,DVI TECHNOLOGES INC,BUSINESS ANALYST,"60,000","PITTSBURGH, PA",09/23/2020,10/10/2020,CERTIFIED
35,GOFFA INTERNATIONAL CORP,BUSINESS ANALYST,"60,040","EAST RUTHERFORD, NJ",05/08/2020,10/01/2020,CERTIFIED
36,WOODFORD HOSPITALITY LP,BUSINESS ANALYST,"60,580","HOUSTON, TX",05/10/2020,05/11/2020,CERTIFIED
37,CALIBER BUSINESS SYSTEMS INC,BUSINESS ANALYST,"61,000","DETROIT, MI",02/27/2020,02/27/2020,CERTIFIED
38,DECHEN CONSULTING GROUP INC,BUSINESS ANALYST,"61,000","DEARBORN, MI",06/04/2020,09/12/2020,CERTIFIED
39,WEBRIDGE GROUP LLC,BUSINESS ANALYST,"61,600","NEW YORK, NY",04/28/2020,10/01/2020,CERTIFIED
40,XCELTECH INC,BUSINESS ANALYST,"62,000","JACKSONVILLE, FL",05/22/2020,09/11/2020,CERTIFIED
41,NORGATE TECHNOLOGY,BUSINESS ANALYST,"62,500","IRVING, TX",02/07/2020,08/06/2020,CERTIFIED
42,RANGAM CONSULTANTS INC,BUSINESS ANALYST,"64,000","LAKE FOREST, IL",04/06/2020,10/01/2020,CERTIFIED
43,CHAMPS DEPOT RICHARDSON LLC,BUSINESS ANALYST,"64,000","RICHARDSON, TX",05/05/2020,10/01/2020,CERTIFIED
44,AMG TECHNOLOGY,BUSINESS ANALYST,"64,080","CHICAGO, IL",06/02/2020,10/01/2020,CERTIFIED
45,DEDICATED TECH SERVICES INC,BUSINESS ANALYST,"64,080","COLUMBUS, OH",07/20/2020,12/01/2020,CERTIFIED
46,NAZTEC INTERNATIONAL GROUP LLC,BUSINESS ANALYST,"64,200","WEST PALM BEACH, FL",08/14/2020,09/01/2020,CERTIFIED
47,DATASYNC INC,BUSINESS ANALYST,"64,600","MADISON, WI",04/16/2020,10/01/2020,CERTIFIED
48,CARPAPAPA AUTO GROUP LLC,BUSINESS ANALYST,"64,680","SEATTLE, WA",04/08/2020,10/01/2020,CERTIFIED
49,CORE SOLUTIONS GROUP INC,BUSINESS ANALYST,"65,000","SEATTLE, WA",04/29/2020,08/22/2020,CERTIFIED
50,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"65,160","ENGLEWOOD CLIFFS, NJ",07/15/2020,07/20/2020,CERTIFIED
51,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"65,160","ENGLEWOOD CLIFFS, NJ",07/15/2020,07/20/2020,CERTIFIED
52,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"65,160","EDISON, NJ",07/15/2020,07/20/2020,CERTIFIED
53,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"65,160","EDISON, NJ",07/15/2020,07/20/2020,CERTIFIED
54,RV TRIP LLC,BUSINESS ANALYST,"65,300","GRAPEVINE, TX",05/19/2020,10/01/2020,CERTIFIED
55,DEDICATED TECH SERVICES INC,BUSINESS ANALYST,"65,920","COLUMBUS, OH",06/26/2020,12/01/2020,CERTIFIED
56,DEDICATED TECH SERVICES INC,BUSINESS ANALYST,"65,920","COLUMBUS, OH",09/03/2020,12/01/2020,CERTIFIED
57,CANVAS INFOTECH INC,BUSINESS ANALYST,"66,000","SALT LAKE CITY, UT",01/15/2020,04/01/2020,CERTIFIED
58,BUSINESS INTELLIGENCE SYSTEMS INC,BUSINESS ANALYST,"66,000","IRVINE, CA",01/22/2020,02/10/2020,CERTIFIED
59,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"66,000","CULVER CITY, CA",04/28/2020,10/01/2020,CERTIFIED
60,JOYIN INC,BUSINESS ANALYST,"66,000","TEMPE, AZ",04/28/2020,10/01/2020,CERTIFIED
61,BUSINESS INTELLIGENCE SYSTEMS INC,BUSINESS ANALYST,"66,000","MOUNDS VIEW, MN",05/08/2020,10/01/2020,CERTIFIED
62,DATASYNC INC,BUSINESS ANALYST,"66,000","WOBURN, MA",06/03/2020,10/01/2020,CERTIFIED
63,AMG TECHNOLOGY,BUSINESS ANALYST,"66,000","SCOTTSDALE, AZ",06/09/2020,10/01/2020,CERTIFIED
64,SYNCHRONISYS INC,BUSINESS ANALYST,"66,000","PHOENIX, AZ",06/10/2020,06/17/2020,CERTIFIED
65,DATASYNC INC,BUSINESS ANALYST,"66,000","WOBURN, MA",06/11/2020,10/01/2020,CERTIFIED
66,KOSUN GROUP LLC,BUSINESS ANALYST,"66,100","NEEDHAM, MA",04/27/2020,10/01/2020,CERTIFIED
67,KOSUN GROUP LLC,BUSINESS ANALYST,"66,100","NEEDHAM, MA",05/09/2020,10/01/2020,CERTIFIED
68,CALIFORNIA CREATIVE SOLUTIONS INC,BUSINESS ANALYST,"66,340","POWAY, CA",04/21/2020,10/01/2020,CERTIFIED
69,CANVAS INFOTECH INC,BUSINESS ANALYST,"66,340","SAN DIEGO, CA",06/29/2020,06/29/2020,CERTIFIED
70,DATASYNC INC,BUSINESS ANALYST,"66,540","SALEM, OR",06/01/2020,10/01/2020,CERTIFIED
71,DATASYNC INC,BUSINESS ANALYST,"66,540","SALEM, OR",06/02/2020,10/01/2020,CERTIFIED
72,KONG DRAGON CAPITAL INVESTMENT INC,BUSINESS ANALYST,"67,040","MILLBRAE, CA",05/22/2020,10/01/2020,DENIED
73,ANJANEYAP INC,BUSINESS ANALYST,"68,000","ORLANDO, FL",04/27/2020,10/01/2020,WITHDRAWN
74,SUSHMITA BHARDWAJ DDS CORPORATION,BUSINESS ANALYST,"68,000","SAN FRANCISCO, CA",06/01/2020,06/08/2020,CERTIFIED
75,QUANTUM TECHNOLOGIES INC,BUSINESS ANALYST,"68,000","MARYLAND HEIGHTS, MO",09/01/2020,10/01/2020,CERTIFIED
76,SOFTWARE GUIDANCE & ASSISTANCE INC,BUSINESS ANALYST,"68,280","GETZVILLE, NY",02/28/2020,03/31/2020,CERTIFIED
77,COMPUTER GLOBAL SOLUTIONS INC,BUSINESS ANALYST,"68,400","LEE'S SUMMIT, MO",04/24/2020,05/01/2020,CERTIFIED
78,COMPUTER GLOBAL SOLUTIONS INC,BUSINESS ANALYST,"68,400","KANSAS CITY, MO",04/24/2020,05/01/2020,CERTIFIED
79,DATASYNC INC,BUSINESS ANALYST,"68,460","AUSTIN, TX",05/26/2020,10/01/2020,CERTIFIED
80,BGC PARTNERS INC,BUSINESS ANALYST,"68,820","NEW YORK, NY",05/05/2020,10/01/2020,CERTIFIED
81,BUSINESS INTEGRA INC,BUSINESS ANALYST,"69,200","BETHESDA, MD",05/11/2020,09/10/2020,CERTIFIED
82,ZEMITEK LLC,BUSINESS ANALYST,"69,200","BETHESDA, MD",05/22/2020,09/09/2020,CERTIFIED
83,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"69,620","KANSAS CITY, MO",07/23/2020,07/30/2020,CERTIFIED
84,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"69,620","LEE'S SUMMIT, MO",07/23/2020,07/30/2020,CERTIFIED
85,AMG TECHNOLOGY,BUSINESS ANALYST,"69,640","STAMFORD, CT",06/10/2020,10/01/2020,CERTIFIED
86,LOANDRONE INC,BUSINESS ANALYST,"70,000","IRVINE, CA",01/29/2020,02/06/2020,CERTIFIED
87,TEKBIZ SOLUTIONS LLC,BUSINESS ANALYST,"70,000","CARSON CITY, NV",04/10/2020,10/01/2020,CERTIFIED
88,SCOPUS IT INC,BUSINESS ANALYST,"70,000","MOUNTAIN VIEW, CA",04/14/2020,10/01/2020,CERTIFIED
89,CORPORATE EMPLOYMENT RESOURCES INC,BUSINESS ANALYST,"70,000","DANBURY, CT",04/17/2020,10/01/2020,CERTIFIED
90,AGAMA SOLUTIONS INC,BUSINESS ANALYST,"70,000","EL DORADO HILLS, CA",05/06/2020,10/01/2020,CERTIFIED
91,DEXPERTS INC,BUSINESS ANALYST,"70,000","DES MOINES, IA",05/24/2020,10/01/2020,CERTIFIED
92,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"70,000","BEACHWOOD, OH",05/28/2020,10/01/2020,CERTIFIED
93,AMG TECHNOLOGY,BUSINESS ANALYST,"70,000","TROY, MI",06/10/2020,10/01/2020,CERTIFIED
94,XCELTECH INC,BUSINESS ANALYST,"70,000","DUNN LORING, VA",06/18/2020,10/01/2020,CERTIFIED
95,NATIONAL CONSULTING GROUP INC,BUSINESS ANALYST,"70,000","CHATTANOOGA, TN",06/19/2020,08/17/2020,CERTIFIED
96,TSR CONSULTING SERVICES INC,BUSINESS ANALYST,"70,000","IRVING, TX",07/02/2020,07/10/2020,CERTIFIED
97,VASTEK INC,BUSINESS ANALYST,"70,100","AGOURA HILLS, CA",06/10/2020,10/01/2020,CERTIFIED
98,KPK TECHNOLOGIES INC,BUSINESS ANALYST,"70,680","VIRGINIA BEACH, VA",05/01/2020,05/11/2020,CERTIFIED
99,CALIBER BUSINESS SYSTEMS INC,BUSINESS ANALYST,"70,800","BOSTON, MA",05/09/2020,10/01/2020,CERTIFIED
100,CANVAS INFOTECH INC,BUSINESS ANALYST,"71,500","ALPHARETTA, GA",04/10/2020,04/10/2020,CERTIFIED
101,BUSINESS INTELLIGENCE SYSTEMS INC,BUSINESS ANALYST,"72,000","ALBANY, NY",03/20/2020,09/06/2020,CERTIFIED
102,QUANTAM SOLUTIONS LLC,BUSINESS ANALYST,"72,000","FRANKFORT, KY",05/22/2020,10/01/2020,CERTIFIED
103,DYGREENCARD INC,BUSINESS ANALYST,"72,000","SAN JOSE, CA",06/07/2020,10/01/2020,CERTIFIED
104,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"72,000","EDEN PRAIRIE, MN",09/15/2020,10/01/2020,CERTIFIED
105,EPATHUSA INC,BUSINESS ANALYST,"72,000","MODESTO, CA",09/22/2020,10/01/2020,CERTIFIED
106,ANJANEYAP INC,BUSINESS ANALYST,"72,560","MALVERN, PA",04/27/2020,10/01/2020,WITHDRAWN
107,SAARTHI LLC,BUSINESS ANALYST,"72,560","LOWER GWYNEDD, PA",06/15/2020,10/01/2020,CERTIFIED
108,BEARBERRY PARTNERS LLC,BUSINESS ANALYST,"72,640","KATY, TX",05/07/2020,10/01/2020,CERTIFIED
109,VASTEK INC,BUSINESS ANALYST,"73,260","MAHWAH, NJ",06/08/2020,10/01/2020,CERTIFIED
110,TSR CONSULTING SERVICES INC,BUSINESS ANALYST,"73,500","IRVING, TX",07/02/2020,07/10/2020,CERTIFIED
111,PRECISION TECHNOLOGIES CORP,BUSINESS ANALYST,"73,740","HILLSBORO, OR",04/14/2020,10/01/2020,CERTIFIED
112,UNITED INNOVATION SERVICES INC,BUSINESS ANALYST,"74,000","FOSTER CITY, CA",06/18/2020,10/01/2020,CERTIFIED
113,BUSINESS INTELLIGENCE SYSTEMS INC,BUSINESS ANALYST,"74,000","COLUMBIA, MD",07/02/2020,07/09/2020,CERTIFIED
114,DATASYNC INC,BUSINESS ANALYST,"74,200","KANSAS CITY, MO",05/08/2020,10/01/2020,CERTIFIED
115,DATASYNC INC,BUSINESS ANALYST,"74,200","KANSAS CITY, MO",06/02/2020,10/01/2020,CERTIFIED
116,MAAYEE INC,BUSINESS ANALYST,"74,460","CHICAGO, IL",05/14/2020,10/01/2020,CERTIFIED
117,TECHPOINT LLC,BUSINESS ANALYST,"74,460","CHICAGO, IL",05/15/2020,10/01/2020,CERTIFIED - WITHDRAWN
118,TECHPOINT LLC,BUSINESS ANALYST,"74,460","CHICAGO, IL",05/29/2020,10/01/2020,CERTIFIED
119,ALLIANCE AEROSPACE GROUP LLC,BUSINESS ANALYST,"74,740","VALENCIA, CA",02/17/2020,08/17/2020,CERTIFIED
120,SHOE REPUBLIC LA INC,BUSINESS ANALYST,"74,740","WALNUT, CA",04/28/2020,10/01/2020,CERTIFIED
121,TBH MARKETING & CONSULTING INC,BUSINESS ANALYST,"74,740","HACIENDA HEIGHTS, CA",06/13/2020,09/06/2020,CERTIFIED
122,ALPHA CLINICAL SYSTEMS INC,BUSINESS ANALYST,"74,760","NEW YORK, NY",03/05/2020,04/09/2020,CERTIFIED
123,DATASYNC INC,BUSINESS ANALYST,"74,760","NEW YORK, NY",04/17/2020,10/01/2020,CERTIFIED
124,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",04/23/2020,05/04/2020,CERTIFIED
125,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",04/23/2020,05/04/2020,CERTIFIED
126,SOFTWARE ENTERPRISE LLC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",04/29/2020,05/11/2020,CERTIFIED
127,SOFTWARE ENTERPRISE LLC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",04/29/2020,05/11/2020,CERTIFIED
128,SOFTWARE ENTERPRISE LLC,BUSINESS ANALYST,"74,760","EDISON, NJ",05/06/2020,05/18/2020,CERTIFIED
129,SOFTWARE ENTERPRISE LLC,BUSINESS ANALYST,"74,760","EDISON, NJ",05/06/2020,05/14/2020,CERTIFIED
130,SOFTWARE ENTERPRISE LLC,BUSINESS ANALYST,"74,760","EDISON, NJ",05/06/2020,05/11/2020,CERTIFIED
131,I BRAIN SOLUTIONS LLC,BUSINESS ANALYST,"74,760","EDISON, NJ",06/18/2020,10/01/2020,CERTIFIED
132,EALEARN INC,BUSINESS ANALYST,"74,760","EDISON, NJ",06/18/2020,10/01/2020,CERTIFIED
133,XENONINFOTEK INC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",06/19/2020,10/01/2020,CERTIFIED
134,ECONTENTI INC,BUSINESS ANALYST,"74,760","EDISON, NJ",06/19/2020,10/01/2020,CERTIFIED
135,ECONTENTI INC,BUSINESS ANALYST,"74,760","EDISON, NJ",06/19/2020,10/01/2020,CERTIFIED
136,IP HEIGHTS LLC,BUSINESS ANALYST,"74,760","ENGLEWOOD CLIFFS, NJ",06/19/2020,10/01/2020,CERTIFIED
137,PRECISION TECHNOLOGIES CORP,BUSINESS ANALYST,"74,940","WOOSTER, OH",07/10/2020,07/27/2020,CERTIFIED
138,CANVAS INFOTECH INC,BUSINESS ANALYST,"75,000","PLANO, TX",06/09/2020,06/15/2020,CERTIFIED
139,ALINDUS INC,BUSINESS ANALYST,"75,960","IRVING, TX",06/15/2020,10/01/2020,CERTIFIED
140,MAGANTI IT RESOURCES LLC,BUSINESS ANALYST,"76,000","NAUGATUCK, CT",03/19/2020,03/20/2020,CERTIFIED
141,PRIMESOFT CONSULTING SERVICES INC,BUSINESS ANALYST,"76,000","WEEHAWKEN, NJ",04/29/2020,10/01/2020,CERTIFIED
142,PRIMESOFT CONSULTING SERVICES INC,BUSINESS ANALYST,"76,000","NEW YORK, NY",04/29/2020,10/01/2020,CERTIFIED
143,XYU ACCOUNTING & TAX PC,BUSINESS ANALYST,"76,000","SAN FRANCISCO, CA",05/02/2020,09/21/2020,CERTIFIED
144,AMG TECHNOLOGY,BUSINESS ANALYST,"76,000","LINCOLNSHIRE, IL",06/15/2020,06/15/2020,CERTIFIED
145,MAGANTI IT RESOURCES LLC,BUSINESS ANALYST,"76,000","NAUGATUCK, CT",09/22/2020,09/23/2020,CERTIFIED
146,ANJANEYAP INC,BUSINESS ANALYST,"76,020","AGOURA HILLS, CA",04/27/2020,10/01/2020,WITHDRAWN
147,TRILOGY INTERNATIONAL INC,BUSINESS ANALYST,"76,440","SOUTHFIELD, MI",04/06/2020,10/01/2020,CERTIFIED
148,THIRDWARE SOLUTION INC,BUSINESS ANALYST,"76,440","TAYLOR, MI",05/21/2020,05/25/2020,CERTIFIED
149,ORION SYSTEMS INTEGRATORS LLC,BUSINESS ANALYST,"76,740","WAXHAW, NC",05/07/2020,05/20/2020,CERTIFIED
150,H & M HANSOTI LLC,BUSINESS ANALYST,"76,840","PORT ARTHUR, TX",04/17/2020,10/01/2020,CERTIFIED
151,ASTA CRS INC,BUSINESS ANALYST,"77,000","NORFOLK, VA",06/08/2020,10/01/2020,CERTIFIED
152,POPULUS GROUP LLC,BUSINESS ANALYST,"77,020","COLUMBUS, OH",03/04/2020,03/12/2020,CERTIFIED
153,CALIBER BUSINESS SYSTEMS INC,BUSINESS ANALYST,"77,020","DETROIT, MI",04/17/2020,04/27/2020,CERTIFIED
154,ASTRA INC,BUSINESS ANALYST,"77,980","ALPHARETTA, GA",04/23/2020,04/29/2020,CERTIFIED
155,SYNCHRONISYS INC,BUSINESS ANALYST,"78,000","LONG BEACH, CA",05/29/2020,06/08/2020,CERTIFIED
156,AMG TECHNOLOGY,BUSINESS ANALYST,"78,000","ALPHARETTA, GA",06/02/2020,10/01/2020,CERTIFIED
157,AMG TECHNOLOGY,BUSINESS ANALYST,"78,000","ALPHARETTA, GA",06/08/2020,10/01/2020,CERTIFIED
158,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"78,000","OWINGS MILLS, MD",06/17/2020,10/01/2020,CERTIFIED
159,NUMANN TECHNOLOGIES INC,BUSINESS ANALYST,"78,440","RANCHO CORDOVA, CA",07/24/2020,08/01/2020,CERTIFIED
160,INTELI PLATFORMS INC,BUSINESS ANALYST,"78,940","SKANEATELES FALLS, NY",03/04/2020,08/30/2020,CERTIFIED
161,FLEXON TECHNOLOGIES INC,BUSINESS ANALYST,"79,380","MOUNTAIN VIEW, CA",04/29/2020,10/01/2020,CERTIFIED
162,CALIFORNIA CREATIVE SOLUTIONS INC,BUSINESS ANALYST,"79,680","POWAY, CA",04/10/2020,04/27/2020,CERTIFIED
163,FLEXON TECHNOLOGIES INC,BUSINESS ANALYST,"79,680","SAN DIEGO, CA",05/06/2020,10/01/2020,CERTIFIED
164,POPULUS GROUP LLC,BUSINESS ANALYST,"80,000","BOSTON, MA",03/03/2020,09/02/2020,CERTIFIED
165,RAYON TEK SOLUTIONS INC,BUSINESS ANALYST,"80,000","NORFOLK, VA",04/14/2020,10/01/2020,CERTIFIED
166,INTERBASE CORPORATION,BUSINESS ANALYST,"80,000","COLUMBIA, SC",04/20/2020,10/01/2020,CERTIFIED
167,AGILEDATA TECH LLC,BUSINESS ANALYST,"80,000","NEW YORK, NY",05/03/2020,09/28/2020,CERTIFIED
168,INFINITIO GROUP INC,BUSINESS ANALYST,"80,000","NEW YORK, NY",05/06/2020,09/21/2020,CERTIFIED
169,ANDREW'S & SON TRADINGS INC,BUSINESS ANALYST,"80,000","CITY OF INDUSTRY, CA",05/07/2020,10/01/2020,CERTIFIED
170,CONCEPTS INFORMATION TECHNOLOGY INC,BUSINESS ANALYST,"80,000","EDEN PRAIRIE, MN",07/21/2020,01/01/2021,CERTIFIED
171,CALIBER BUSINESS SYSTEMS INC,BUSINESS ANALYST,"80,000","MORRISVILLE, NC",07/30/2020,08/07/2020,CERTIFIED
172,POPULUS GROUP LLC,BUSINESS ANALYST,"80,000","SOUTHFIELD, MI",08/31/2020,09/14/2020,CERTIFIED
173,AGAMA SOLUTIONS INC,BUSINESS ANALYST,"80,000","BRENTWOOD, CA",09/10/2020,10/01/2020,CERTIFIED
174,NUMANN TECHNOLOGIES INC,BUSINESS ANALYST,"80,480","RANCHO CORDOVA, CA",07/24/2020,08/01/2020,CERTIFIED
175,DIGITAL INTELLIGENCE SYSTEMS LLC,BUSINESS ANALYST,"80,680","FARMINGTON HILLS, MI",06/10/2020,10/01/2020,CERTIFIED
176,AGAMA SOLUTIONS INC,BUSINESS ANALYST,"81,200","SAN FRANCISCO, CA",05/06/2020,10/01/2020,CERTIFIED
177,FLEXON TECHNOLOGIES INC,BUSINESS ANALYST,"81,200","SAN RAMON, CA",06/12/2020,10/01/2020,CERTIFIED
178,DATASYNC INC,BUSINESS ANALYST,"81,480","WES DES MOINES, IA",01/16/2020,01/27/2020,CERTIFIED
179,DATASYNC INC,BUSINESS ANALYST,"81,480","WEST DES MOINES, IA",01/22/2020,01/29/2020,CERTIFIED
180,VISH CONSULTING SERVICES INC,BUSINESS ANALYST,"82,000","ATLANTA, GA",05/22/2020,10/01/2020,CERTIFIED
181,CALIFORNIA CREATIVE SOLUTIONS INC,BUSINESS ANALYST,"82,120","WAYNE, PA",04/10/2020,04/27/2020,CERTIFIED
182,PRECISION TECHNOLOGIES CORP,BUSINESS ANALYST,"82,120","OAKS, PA",04/14/2020,10/01/2020,CERTIFIED
183,ASSURECARE LLC,BUSINESS ANALYST,"83,340","CINCINNATI, OH",03/19/2020,09/01/2020,CERTIFIED
184,TEXPERTS INC,BUSINESS ANALYST,"84,000","MADISON, WI",01/30/2020,06/29/2020,CERTIFIED
185,LATITUDE 36 INC,BUSINESS ANALYST,"84,000","FRANKFORT, KY",04/15/2020,07/01/2020,CERTIFIED
186,ASTA CRS INC,BUSINESS ANALYST,"84,000","AUSTIN, TX",04/17/2020,08/31/2020,CERTIFIED
187,MTSS INC,BUSINESS ANALYST,"84,000","WESTBOROUGH, MA",06/05/2020,06/20/2020,CERTIFIED
188,COOK SYSTEMS INTERNATIONAL INC,BUSINESS ANALYST,"84,000","NASHVILLE, TN",08/24/2020,10/01/2020,CERTIFIED
189,BEACON HILL STAFFING GROUP LLC,BUSINESS ANALYST,"84,100","PALM BEACH GARDEN, FL",03/17/2020,03/30/2020,CERTIFIED - WITHDRAWN
190,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"84,260","NEW YORK, NY",05/21/2020,06/01/2020,CERTIFIED
191,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"84,260","JERSEY CITY, NJ",05/21/2020,06/01/2020,CERTIFIED
192,RELIANCE IT INC,BUSINESS ANALYST,"84,800","BELLEVUE, WA",04/24/2020,10/01/2020,CERTIFIED
193,POPULUS GROUP LLC,BUSINESS ANALYST,"85,000","BENTONVILLE, AR",03/04/2020,09/03/2020,CERTIFIED
194,CANVAS INFOTECH INC,BUSINESS ANALYST,"85,000","PLANO, TX",06/04/2020,06/15/2020,CERTIFIED
195,MEAN VALUE CONSULTING LLC,BUSINESS ANALYST,"85,500","NEW YORK, NY",05/21/2020,10/01/2020,CERTIFIED
196,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"86,000","MCLEAN, VA",04/08/2020,04/16/2020,CERTIFIED
197,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"86,000","MCLEAN, VA",04/08/2020,04/16/2020,CERTIFIED
198,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"86,000","HERNDON, VA",04/09/2020,04/16/2020,CERTIFIED
199,SYSTEM SOFT TECHNOLOGIES LLC,BUSINESS ANALYST,"86,000","HERNDON, VA",04/09/2020,04/16/2020,CERTIFIED
200,TIMESQUARE IT INC,BUSINESS ANALYST,"86,000","ALPHARETTA, GA",06/22/2020,08/01/2020,CERTIFIED
